FII;Vacancia;Inadimplencia;DataAtualizacao
VVCO11;0.0;0;22-06-2026 12:47
VVCR11;0.0;0;22-06-2026 12:47
VVMR11;0.3312;0;22-06-2026 12:47
VVRI11;0.7785;0;22-06-2026 12:47
VXXV11;0.0;0;22-06-2026 12:47
WHGR11;0.0;0;22-06-2026 12:47
WPLZ11;0.09;0.086;22-06-2026 12:47
WTSP11;0.2012;0;22-06-2026 12:47
XLPR11;0.0;0;22-06-2026 12:47
XPCI11;0.0;0;22-06-2026 12:47
XPCM11;0.486;0;22-06-2026 12:47
XPIN11;0.04;0.0075;22-06-2026 12:47
XPLG11;0.081;0;22-06-2026 12:47
XPML11;0.041;0;22-06-2026 12:47
XPRE11;0;0;22-06-2026 12:47
XPSF11;0.0;0;22-06-2026 12:47
YEES11;0.0;0;22-06-2026 12:47
YUFI11;0.11;0;22-06-2026 12:47
ZAGH11;0.0;0;22-06-2026 12:47
ZAVC11;0.0;0;22-06-2026 12:47
ZAVI11;0.005;0;22-06-2026 12:47
ZIFI11;0.0;0;22-06-2026 12:47
